Name,Nicknames,Age,Born Date,Born Location,Born Country,Continent,Died Date,Died Location,Date Apprehended,Apprehended Age,Conviction,Criminal Penalty,Criminal Penalty Categories,Zodiac Sign
Luis Garavito,"The Beast, Goofy, Conflict, Bonifacio Morera Lizcano",66.0,1957-01-25,"Gnova, Quindo, Colombia",Colombia,South America,2023-10-12,"Valledupar, Colombia",1999-04-22,42,,,,Aquarius
Pedro López,The Monster of the Andes,,1948-10-08,"Venadillo, Colombia",Colombia,South America,,,1980-03-09,31,"Vehicle Theft, Murder, Rape","7 years imprisonment in Colombia, extended to 9 due to in-prison homicide (1969 to 1978), 16 years imprisonment in Ecuador, released after 14 years (1980 to 1994), committed to mental hospital in Colombia (1994 to 1998)",Years Imprisonment,Libra
Javed Iqbal,Kukri,,,"Lahore, Punjab, Pakistan",Pakistan,Asia,,"Lahore, Punjab, Pakistan",1999-12-30,,"Child Se Abuse, Murder",death,Death Sentence,
Mikhail Popkov,"The Werewolf, The Angarsk Maniac, The Wednesday Murderer",,1964-03-07,"Norilsk, Krasnoyarsk Krai, Russian SFSR, USSR",USSR,Europe,,,2012-06-23,48,Aggravated Murder Attempted Aggravated Murder,life imprisonment,Life Imprisonment,Pisces
Daniel Camargo Barbosa,"The Sadist of El Charquito, The Monster of the Mangroves, Manuel Bulgarin Solis",64.0,1930-01-22,"Anolaima, Cundinamarca, Colombia",Colombia,South America,1994-11-13,"Guayaquil, Ecuador",1974-05-03,44,,"25 years imprisonment, 16 years imprisonment",Years Imprisonment,Aquarius
Pedro Rodrigues Filho,"Killer Petey, Pedrinho Matador",68.0,1954-10-29,"Santa Rita do Sapuca, Minas Gerais, Brazil",Brazil,South America,2023-03-05,"Mogi das Cruzes, So Paulo, Brazil",,,,"30 years imprisonment (1973 to 2007), 8 years imprisonment (7 served on good behavior, 2011 to 2018)",Years Imprisonment,Scorpio
Kampatimar Shankariya,,,,"Jaipur, Rajasthan, India",India,Asia,,"Jaipur, Rajasthan, India",1978-01-01,,Murder,death,Death Sentence,
Hoshang Amini,"The Ghost of the Qanat Wells, The Felt Hat Killer",,,"Varamin, Tehran Province, Iran",Iran,Asia,,"Toopkhaneh, Tehran, Tehran Province, Iran",1962-01-01,,Murder,death,Death Sentence,
Yang Xinhai,The Monster Killer,,,"Zhengyang County, Zhumadian, Henan, China",China,Asia,2004-02-14,"Luohe, Henan, China",2003-11-03,,Murder Rape,death,Death Sentence,
Abul Djabar,,,,Abul DjabarAfghanistan,Abul DjabarAfghanistan,Asia,,Kabul Province,1970-10-01,,Murder,death,Death Sentence,
Samuel Little,"Samuel Mc, Dowell, The Choke--Stroke Killer, Mr. Sam",80.0,1940-06-07,,,,2020-12-30,,2012-09-05,72,Murder,Four life sentence(s) without the possibility of parole,Life Imprisonment,Gemini
William Unek,William Uneko,,,Protectorate of Uganda,Protectorate of Uganda,Africa,,"Mwanza, Tanganyika Territory",,,,,,
Mohammed Bijeh,,,,"e Heydarieh, Razavi Khorasan province, Iran",Iran,Asia,2005-03-16,"Pakdasht, Iran",,,Murder,death,Death Sentence,
Andrei Chikatilo,"The Butcher of Rostov, The Forest Strip Killer, The Red Ripper, The Rostov Ripper",57.0,1936-10-16,", Sumy Oblast, Ukrainian SSR, Soviet Union",Soviet Union,Europe,1994-02-14,"Novocherkassk, Rostov Oblast, Russia",1990-11-20,54,"Murder With Aggravating Circumstances, Sexual Abuse, Sexual Assault",death,Death Sentence,Libra
Anatoly Onoprienko,"The Beast of Ukraine, The Terminator, Citizen O",54.0,1959-07-25,"Lasky, Zhytomyr Oblast, Ukrainian SSR, USSR",USSR,Europe,2013-08-27,"Zhytomyr, Zhytomyr Oblast, Ukraine",1996-04-16,36,Murder,"death, commuted to life imprisonment",Death Sentence,Leo
Florisvaldo De Oliveira,Cabo Bruno,53.0,1958-11-18,"Uchoa, Brazil",Brazil,South America,2012-09-26,"Pindamonhangaba, Brazil",1983-09-22,24,Murder,"113 years imprisonment, released after 27 years",Years Imprisonment,Scorpio
Gary Ridgway,The Green River Killer,,1949-02-18,,,,,,2001-11-30,52,"Aggravated First Degree Murder, Tampering With Evidence, Solicitation",49 life sentence(s) without the possibility of parole,Life Imprisonment,Aquarius
Alexander Pichushkin,"The Bitsa Park Maniac, The Chessboard Killer",,1974-04-09,"Mytishchi, Moscow Oblast, Russian SFSR, USSR",USSR,Europe,,,2006-06-16,32,,life imprisonment,Life Imprisonment,Aries
Wang Qiang,,30.0,1975-01-16,"Budayuan Town, Kuandian Manchu Autonomous County, Liaoning, China",China,Asia,2005-11-17,"Shenyang, China",2003-07-14,28,Murder Rape Robbery,death,Death Sentence,Capricorn
Ahmad Suradji,"Dukun ASNasib Kelewang, Datuk Maringgi, The Sorcerer",59.0,1949-01-10,"Pasar Rongkat, North Sumatra, Indonesia",Indonesia,Asia,2008-07-10,"Deli Serdang, North Sumatra, Indonesia",1997-04-30,48,Murder,death,Death Sentence,Capricorn
Raman Raghav,"The Ripper, Sindhi Dalwai, Talwai, Anna, Thambi, Veluswami, Psycho Raman",,,,,,,"Yerawada Central Jail, Pune, Maharashtra, India",1968-08-27,,Murder,life imprisonment,Life Imprisonment,
Moses Sithole,"The ABC Killer, The South African Strangler The Gauteng Killer",,1964-11-17,"Vosloorus, Gauteng, South Africa",South Africa,Africa,,,1995-11-06,30,"Murder, Rape, Robbery","2,410 years imprisonment",Years Imprisonment,Scorpio
Serhiy Tkach,"Pavlohrad Maniac, Polohy Maniac",66.0,1952-09-15,"Kiselyovsk, Kemerovo Oblast, Russian SFSR, Soviet Union",Soviet Union,Europe,2018-11-04,", Zhytomyr, Zhytomyr Oblast, Ukraine",2005-08-30,52,,life imprisonment,Life Imprisonment,Virgo
Gennady Mikhasevich,,,,"Ist, Vitebsk Oblast, Byelorussian SSR",Byelorussian SSR,Europe,,"Pishchalauski Castle, Minsk, Byelorussian SSR",1985-12-09,,Murder With Aggravating Circumstances,death,Death Sentence,
Hadj Mohammed Mesfewi,The Marrakesh Arch-Killer,,,"sMarrakesh, Morocco",Morocco,Africa,,"Marrakesh, Morocco",1906-04-01,,Murder,death,Death Sentence,
Vera Renczi,The Black Widow,,,"Bucharest, Romania",Romania,Europe,,,,,,,,
Fernando Hernández Leyva,Pancho López,,1964-11-30,"Cuernavaca, Morelos, Mexico",Mexico,North America,,,1999-01-01,34,,60 years imprisonment,Years Imprisonment,Sagittarius
John Wayne Gacy,The Killer Clown,52.0,1942-03-17,,,,1994-05-10,,1978-12-21,36,"Iowa, Sodomy, Illinois, Murder Indecent Liberties With A Child, Deviate Sexual Assault",,,Pisces
Ali Asghar Borujerdi,Asghar-e Qatil (Asghar the Murderer),,,"Borujerd, Iran",Iran,Asia,1934-07-06,"Toopkhaneh, Tehran, Iran",1934-01-01,,Murder And Rape,Execution by hanging,Death Sentence,
Vasili Komaroff,"The Wolf of Moscow, The Shabolovka Street Killer",,,"Vitebsk Governorate, Russian Empire",Russian Empire,,,"Moscow, Russian SFSR, Soviet Union",,,Murder,death,Death Sentence,
Ramadan Abdel Rehim Mansour,Al-Tourbini (التوربيني‎),,,"Tanta, Gharbia, Egypt",Egypt,Africa,,"Burj Al Arab Prison, Egypt",,,Murder,death,Death Sentence,
Radik Tagirov,The Volga Maniac,,,"Kazan, Tatar Autonomous Soviet Socialist Republic, Soviet Union",Soviet Union,Europe,,,2020-12-01,,Murder Attempted Murder Assault,life imprisonment,Life Imprisonment,
Karl Denke,"Father Denke, Papa Denke, The Cannibal of Münsterberg, The Forgotten Cannibal",,,,,,,,1924-12-20,,,,,
Francisco Das Chagas Rodrigues De Brito,,,,"Caxias, state of Maranho, Brazil",Brazil,South America,,,2003-12-01,,"Doubly Qualified Homicide, Abuse Against Dead Bodies, Concealment Of Corpses",580 years imprisonment,Years Imprisonment,
Monster Of The Mangones,",The Cali Vampire,",,,,,,,,,,,,,
Milton Sipalo,The Lusaka Strangler,,,,,,,"Lusaka Central Police Station, Lusaka, Zambia",1980-09-16,,,,,
Luis Gregorio Ramírez Maestre,The Monster of Tenerife,,1980-09-30,"Valledupar, Colombia",Colombia,South America,,,2012-01-01,31,Murder,34 years in jail,Years Imprisonment,Libra
David Thabo Simelane,David Albert Mhlanga,,,,,,,,,,Murder,death,Death Sentence,
Zhang Jun,,34.0,1966-08-05,"Hualin Village, Hunan, China",China,Asia,2001-05-20,"Chongqing, China",2000-09-19,34,Murder,death,Death Sentence,Leo
Mariam Soulakiotis,,,," Keratea, Greece",Greece,,,,1950-12-05,,,14 years in prison (died with pending criminal cases),Years Imprisonment,
Cedric Maake,The Wemmer Pan Killer,,,Maoupa Cedric MaakeSouth Africa,Maoupa Cedric MaakeSouth Africa,Africa,,,1997-12-01,,,1 340 years imprisonment,Years Imprisonment,
Robert Pickton,,74.0,1949-10-24,"Port Coquitlam, British Columbia, Canada",Canada,North America,2024-05-31,"Quebec City, Quebec, Canada",2002-02-22,52,Second-Degree Murder ×,life imprisonment with no possibility of parole for 25 years,Life Imprisonment,Scorpio
Bruce George Peter Lee,,,1960-07-31,"Manchester, England",England,Europe,,,1979-12-04,19,"Manslaughter, Arson",Indefinite hospital detention,Hospital Detention,Leo
The Stoneman,,,,,,,,,,,,,,
Juan Corona,Corona,85.0,1934-02-07,"San Antonio de los Moran, Ayutla, Jalisco, Mexico",Mexico,North America,2019-03-04,,1971-05-26,37,First-Degree Murder,life imprisonment,Life Imprisonment,Aquarius
Fritz Haarmann,"The Butcher of Hanover, The Wolf Man, The Vampire of Hanover",,,"Hanover, German Empire",German Empire,Europe,1925-04-15,"Hanover Prison, Hanover, Weimar Republic",1924-06-22,,Murder,death,Death Sentence,
Béla Kiss,"Bela Kish, Monster of Cinkota",,,Hungary,Hungary,Europe,,,,,Never Convicted,,,
Majid Salek Mohammadi,,,,"Tabriz, Iran",Iran,Asia,,"Qasr Prison, Iran",,,Murder,,,
Yvan Keller,The Pillow Killer,45.0,1960-12-13,"Rhin, France",France,Europe,2006-09-22,"Mulhouse, France",2006-09-01,45,,,,Sagittarius
Ronald Dominique,The Bayou Strangler,,1964-01-09,,,,,,2006-12-01,42,,Eight consecutive life sentence(s) without the possibility of parole,Life Imprisonment,Capricorn
Juan Fernando Hermosa,Niño del Terror-Child of Terror,20.0,1976-02-28,"Clemente Baquerizo, Los Ros Province, Ecuador",Ecuador,,1996-02-28,"Nueva Loja, Sucumbos Province, Ecuador",1992-01-09,15,Murder,4 years imprisonment,Years Imprisonment,Pisces
Gerald Stano,,46.0,1951-09-12,,,,1998-03-23,,1980-04-01,28,First Degree Murder,deathplus 8 life sentence(s),Death Sentence,Virgo
Earle Nelson,"The Dark Strangler, The Gorilla Man, Charles Harrison, Adrian Harris, Virgil Wilson",,,,,,,"Vaughan Street Jail, Winnipeg, Manitoba, Canada",1927-06-16,,"Murder, Attempted Molestation, Breaking And Entering",death,Death Sentence,
Mikhail Novosyolov,The Necrophile Rebel,,,"Mikhail NovosyolovSarapul, Udmurt ASSR, RSFSR",RSFSR,Europe,,,1995-01-01,,Murder,Civil commitment,other,
Manuel Octavio Bermúdez,The Monster of the Cane Fields,63.0,1961-10-15,"Trujillo, Valle del Cauca, Colombia",Colombia,South America,2024-10-17,"Cauca Department, Colombia",2003-07-18,41,"Murder, Rape",25 years in prison,Years Imprisonment,Libra
