Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Luis Garavito,Male,"Colombia, Ecuador, Venezuela",Multiple Countries,South America,1992,1999,1995,7,1990s,247,54,193,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Garavito confessed to killing 140 boys between six and sixteen years old, from October 1992 to April 1999 in Colombia and neighboring countries. He is suspected of murdering over 300 victims, mostly street children. Garavito was originally sentenced to 1,853 years in prison, but this was later reduced to 22 years, after he led police to many of the bodies of his victims. He was scheduled to become eligible for parole in 2023. He died on October 12, 2023."
Pedro López,Male,"Colombia, Peru, Ecuador",Multiple Countries,South America,1969,1980,1974,11,1970s,300,190,110,"Child-murderer and rapist, known as ""The Monster of the Andes"". López targeted young girls, between the ages of eight and twelve. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s."
Javed Iqbal,Male,Pakistan,Pakistan,Asia,1998,1999,1998,1,1990s,100,0,100,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in December 1999 after sending a letter to a newspaper, and was set to be executed in the manner described by the judge, who stated, ""You will be strangled to death in front of the parents whose children you killed"" and, ""Your body will then be cut into 100 pieces and put in acid, the same way you killed the children."" However, he died in custody before he could be executed."
Mikhail Popkov,Male,Russia,Russia,Europe,1992,2010,2001,18,2000s,86,3,83,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018. In July 2020, Popkov confessed to more killings, bringing the total number of admitted victims to 83. He was convicted of additional two killings in 2021 and another three in 2023. He was sentenced to life."
Daniel Camargo Barbosa,Male,"Colombia, Ecuador, Brazil",Multiple Countries,South America,1974,1986,1980,12,1980s,180,108,72,"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children, as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison, and started killing in Ecuador. He was rearrested in 1986, and was allegedly incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed] Camargo was killed in jail by the nephew of one of his victims."
Pedro Rodrigues Filho,Male,Brazil,Brazil,South America,1967,2003,1985,36,1980s,100,29,71,"Rodrigues Filho claimed to have killed over 100 victims, 47 of them inmates. He also killed his father (who had killed his mother) and ate a piece of his heart. He killed his first two victims at the age of 14. He was first arrested in 1973; he was convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years. He was released in 2018. He was murdered by two men in 2023."
Kampatimar Shankariya,Male,India,India,Asia,1977,1978,1977,1,1970s,70,0,70,"Shankariya was an Indian serial killer who used a hammer to kill over 70 men and women between 1978 and 1979. He was hanged in 1979; his last words were, ""I have murdered in vain"", he declared. ""Nobody should become like me."""
Hoshang Amini,Male,Iran,Iran,Asia,1954,1962,1958,8,1950s,67,0,67,"Known as the ""Ghost of the Qanat Wells"". Murdered 67 people in the city of Varamin from 1954 to 1962, sometimes aided by accomplices. He earned his nickname by decapitating his victims post-mortem and then dumping their bodies into wells."
Yang Xinhai,Male,China,China,Asia,1999,2003,2001,4,2000s,67,0,67,"Known as the ""Monster Killer"". Yang would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. He was executed by gunshot in 2004."
Abul Djabar,Male,Afghanistan,Afghanistan,Asia,,1970,,,<NA>s,300,235,65,"Killed 65 men and boys by strangling them with turbans while raping them. Suspected of over 300 murders. Sentenced to death and hanged on October 21, 1970."
Samuel Little,Male,United States,United States,North America,1970,2005,1987,35,1980s,93,33,60,"Little was convicted of killing three women, but later investigations linked 31 other murders to him. He claimed he killed as many as 93 victims total, three above his initial confession of 90; the FBI later confirmed a total of 60 murders linked to Little. The investigations into his crimes are ongoing. Sentenced to life imprisonment without the possibility of parole on September 25, 2014. Died in prison on December 30, 2020, aged 80."
William Unek,Male,"Belgian Congo, Tanganyika",Multiple Countries,Multiple continents,1954,1957,1955,3,1950s,57,0,57,"Unek was a police constable who murdered 21 people with an axe in less than two hours before fleeing. Three years later, Unek, armed with rifle and axe, murdered 36 more people in the village of Malampaka before being mortally wounded by police with a smoke bomb that caught fire."
Mohammed Bijeh,Male,Iran,Iran,Asia,2002,2004,2003,2,2000s,54,0,54,"Bijeh raped and killed at least 54 male children and teenagers. On November 27, 2004, he was sentenced to be executed. Bijeh said that if he was not arrested, he would kill 100 children. He was executed after being lashed in front of a crowd in 2005."
Andrei Chikatilo,Male,Soviet Union,Soviet Union,Multiple continents,1978,1990,1984,12,1980s,56,3,53,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Chikatilo was convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Chikatilo was executed by gunshot in 1994."
